Maximum Speed,Number of Evaluations
22.217328276642196,219
22.217328276642196,220
22.217328276642196,221
22.217328276642196,222
22.217328276642196,223
22.217328276642196,224
22.217328276642196,225
22.217328276642196,226
22.217328276642196,227
22.217328276642196,228
22.217328276642196,229
22.217328276642196,230
22.217328276642196,231
22.217328276642196,232
22.217328276642196,233
22.217328276642196,234
22.217328276642196,235
22.217328276642196,236
22.217328276642196,237
22.217328276642196,238
22.217328276642196,239
22.217328276642196,240
22.217328276642196,241
22.217328276642196,242
22.217328276642196,243
22.217328276642196,244
22.217328276642196,245
22.217328276642196,246
22.217328276642196,247
22.217328276642196,248
22.217328276642196,249
22.217328276642196,250
22.217328276642196,251
22.217328276642196,252
22.217328276642196,253
22.217328276642196,254
22.217328276642196,255
22.217328276642196,256
22.217328276642196,257
22.217328276642196,258
22.217328276642196,259
22.217328276642196,260
22.217328276642196,261
22.217328276642196,262
22.217328276642196,263
22.217328276642196,264
22.217328276642196,265
22.217328276642196,266
22.217328276642196,267
22.217328276642196,268
22.217328276642196,269
22.217328276642196,270
22.217328276642196,271
22.217328276642196,272
22.217328276642196,273
22.217328276642196,274
22.217328276642196,275
22.217328276642196,276
22.217328276642196,277
22.217328276642196,278
22.217328276642196,279
22.217328276642196,280
22.217328276642196,281
22.217328276642196,282
22.217328276642196,283
22.217328276642196,284
22.217328276642196,285
22.217328276642196,286
22.217328276642196,287
22.217328276642196,288
22.217328276642196,289
22.217328276642196,290
22.217328276642196,291
22.217328276642196,292
22.217328276642196,293
22.217328276642196,294
22.217328276642196,295
22.217328276642196,296
22.217328276642196,297
22.217328276642196,298
22.217328276642196,299
22.217328276642196,300
22.217328276642196,301
22.217328276642196,302
22.217328276642196,303
22.217328276642196,304
22.217328276642196,305
22.217328276642196,306
22.217328276642196,307
22.217328276642196,308
22.217328276642196,309
22.217328276642196,310
22.217328276642196,311
22.217328276642196,312
22.217328276642196,313
22.217328276642196,314
22.217328276642196,315
22.217328276642196,316
22.217328276642196,317
22.217328276642196,318
22.217328276642196,319
22.217328276642196,320
22.217328276642196,321
22.217328276642196,322
22.217328276642196,323
22.217328276642196,324
22.217328276642196,325
22.217328276642196,326
22.217328276642196,327
22.217328276642196,328
22.217328276642196,329
22.217328276642196,330
22.217328276642196,331
22.217328276642196,332
22.217328276642196,333
22.217328276642196,334
22.217328276642196,335
22.217328276642196,336
22.217328276642196,337
22.217328276642196,338
22.217328276642196,339
22.217328276642196,340
22.217328276642196,341
22.217328276642196,342
22.217328276642196,343
22.217328276642196,344
22.217328276642196,345
22.217328276642196,346
22.217328276642196,347
22.217328276642196,348
22.217328276642196,349
22.217328276642196,350
22.217328276642196,351
22.217328276642196,352
22.217328276642196,353
22.217328276642196,354
22.217328276642196,355
22.217328276642196,356
22.217328276642196,357
22.217328276642196,358
22.217328276642196,359
22.217328276642196,360
22.217328276642196,361
22.217328276642196,362
22.217328276642196,363
22.217328276642196,364
22.217328276642196,365
22.217328276642196,366
22.217328276642196,367
22.217328276642196,368
22.217328276642196,369
22.217328276642196,370
22.217328276642196,371
22.217328276642196,372
22.217328276642196,373
22.217328276642196,374
22.217328276642196,375
22.217328276642196,376
22.217328276642196,377
22.217328276642196,378
22.217328276642196,379
22.217328276642196,380
22.217328276642196,381
22.217328276642196,382
22.217328276642196,383
22.217328276642196,384
22.217328276642196,385
