Maximum Speed,Number of Evaluations
39.36182563857861,446
39.36182563857861,447
39.36182563857861,448
39.36182563857861,449
39.36182563857861,450
39.36182563857861,451
39.36182563857861,452
39.36182563857861,453
39.36182563857861,454
39.36182563857861,455
39.36182563857861,456
39.36182563857861,457
39.36182563857861,458
39.36182563857861,459
39.36182563857861,460
39.36182563857861,461
39.36182563857861,462
39.36182563857861,463
39.36182563857861,464
39.36182563857861,465
39.36182563857861,466
39.36182563857861,467
39.36182563857861,468
39.36182563857861,469
39.36182563857861,470
39.36182563857861,471
39.36182563857861,472
39.36182563857861,473
39.36182563857861,474
39.36182563857861,475
39.36182563857861,476
39.36182563857861,477
39.36182563857861,478
39.36182563857861,479
39.36182563857861,480
39.36182563857861,481
39.36182563857861,482
39.36182563857861,483
39.36182563857861,484
39.36182563857861,485
39.36182563857861,486
39.36182563857861,487
39.36182563857861,488
39.36182563857861,489
39.36182563857861,490
39.36182563857861,491
39.36182563857861,492
39.36182563857861,493
39.36182563857861,494
39.36182563857861,495
39.36182563857861,496
39.36182563857861,497
39.36182563857861,498
39.36182563857861,499
39.36182563857861,500
39.36182563857861,501
39.36182563857861,502
39.36182563857861,503
39.36182563857861,504
39.36182563857861,505
39.36182563857861,506
39.36182563857861,507
39.36182563857861,508
39.36182563857861,509
39.36182563857861,510
39.36182563857861,511
39.36182563857861,512
39.36182563857861,513
39.36182563857861,514
39.36182563857861,515
39.36182563857861,516
39.36182563857861,517
39.36182563857861,518
39.36182563857861,519
39.36182563857861,520
39.36182563857861,521
39.36182563857861,522
39.36182563857861,523
39.36182563857861,524
39.36182563857861,525
39.36182563857861,526
39.36182563857861,527
39.36182563857861,528
39.36182563857861,529
39.36182563857861,530
39.36182563857861,531
39.36182563857861,532
39.36182563857861,533
39.36182563857861,534
39.36182563857861,535
39.36182563857861,536
39.36182563857861,537
39.36182563857861,538
39.36182563857861,539
39.36182563857861,540
39.36182563857861,541
39.36182563857861,542
39.36182563857861,543
39.36182563857861,544
39.36182563857861,545
39.36182563857861,546
39.36182563857861,547
39.36182563857861,548
39.36182563857861,549
39.36182563857861,550
39.36182563857861,551
39.36182563857861,552
39.36182563857861,553
39.36182563857861,554
39.36182563857861,555
39.36182563857861,556
39.36182563857861,557
39.36182563857861,558
39.36182563857861,559
39.36182563857861,560
39.36182563857861,561
39.36182563857861,562
39.36182563857861,563
39.36182563857861,564
39.36182563857861,565
39.36182563857861,566
39.36182563857861,567
39.36182563857861,568
39.36182563857861,569
39.36182563857861,570
39.36182563857861,571
39.36182563857861,572
39.36182563857861,573
39.36182563857861,574
39.36182563857861,575
39.36182563857861,576
39.36182563857861,577
39.36182563857861,578
39.36182563857861,579
39.36182563857861,580
39.36182563857861,581
39.36182563857861,582
39.36182563857861,583
39.36182563857861,584
39.36182563857861,585
39.36182563857861,586
39.36182563857861,587
39.36182563857861,588
39.36182563857861,589
39.36182563857861,590
39.36182563857861,591
39.36182563857861,592
39.36182563857861,593
39.36182563857861,594
39.36182563857861,595
39.36182563857861,596
39.36182563857861,597
39.36182563857861,598
39.36182563857861,599
39.36182563857861,600
39.36182563857861,601
39.36182563857861,602
39.36182563857861,603
39.36182563857861,604
39.36182563857861,605
39.36182563857861,606
39.36182563857861,607
39.36182563857861,608
39.36182563857861,609
39.36182563857861,610
39.36182563857861,611
39.36182563857861,612
39.36182563857861,613
39.36182563857861,614
39.36182563857861,615
39.36182563857861,616
39.36182563857861,617
